Invoice_ID,Branch,City,Customer_type,Gender,Product_line,Unit_price,Quantity,Tax_five_per,Total,Date,Time,Payment,cogs,gross_margin_percentage,gross_income,Rating
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8.00,21.0360,441.7560,3/22/2019,19:20,Credit card,420.72,4.7619,21.0360,8.5
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1.00,1.6760,35.1960,02-08-19,15:31,Cash,33.52,4.7619,1.6760,6.7
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2.00,8.7670,184.1070,03-10-19,12:17,Credit card,175.34,4.7619,8.7670,7.7
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5.00,22.0900,463.8900,1/25/2019,19:48,Cash,441.80,4.7619,22.0900,9.6
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9.00,11.2005,235.2105,3/15/2019,15:36,Cash,224.01,4.7619,11.2005,7.4
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5.00,23.5325,494.1825,2/25/2019,19:39,Credit card,470.65,4.7619,23.5325,4.8
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9.00,35.1315,737.7615,1/28/2019,12:43,Cash,702.63,4.7619,35.1315,4.5
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8.00,33.5120,703.7520,01-10-19,14:49,Cash,670.24,4.7619,33.5120,5.1
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2.00,9.6580,202.8180,3/15/2019,10:12,Credit card,193.16,4.7619,9.6580,5.1
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4.00,19.8840,417.5640,02-06-19,10:42,Ewallet,397.68,4.7619,19.8840,7.5
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1.00,3.4060,71.5260,01-07-19,12:28,Ewallet,68.12,4.7619,3.4060,6.8
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5.00,15.6550,328.7550,03-10-19,19:15,Ewallet,313.10,4.7619,15.6550,7.0
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9.00,27.3960,575.3160,1/15/2019,17:17,Ewallet,547.92,4.7619,27.3960,4.7
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8.00,21.9680,461.3280,3/23/2019,13:24,Ewallet,439.36,4.7619,21.9680,7.6
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8.00,12.0480,253.0080,03-03-19,13:01,Cash,240.96,4.7619,12.0480,7.7
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1.00,4.3360,91.0560,1/17/2019,18:45,Ewallet,86.72,4.7619,4.3360,7.9
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2.00,5.6110,117.8310,02-02-19,10:11,Cash,112.22,4.7619,5.6110,6.3
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6.00,20.7360,435.4560,02-08-19,13:03,Cash,414.72,4.7619,20.7360,5.6
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.70,8.00,39.4800,829.0800,03-04-19,20:39,Cash,789.60,4.7619,39.4800,7.6
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2.00,1.5370,32.2770,3/16/2019,19:47,Cash,30.74,4.7619,1.5370,7.2
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4.00,18.7920,394.6320,03-09-19,18:00,Cash,375.84,4.7619,18.7920,9.5
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9.00,25.5105,535.7205,2/27/2019,17:24,Credit card,510.21,4.7619,25.5105,8.4
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9.00,9.0045,189.0945,02-06-19,15:47,Ewallet,180.09,4.7619,9.0045,4.1
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6.00,5.6790,119.2590,02-10-19,12:45,Credit card,113.58,4.7619,5.6790,8.1
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10.00,41.3150,867.6150,3/19/2019,17:08,Ewallet,826.30,4.7619,41.3150,7.9
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.40,7.00,31.9900,671.7900,02-03-19,10:19,Cash,639.80,4.7619,31.9900,9.5
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5.00,11.1475,234.0975,02-10-19,15:10,Cash,222.95,4.7619,11.1475,8.5
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4.00,3.5740,75.0540,3/22/2019,14:42,Ewallet,71.48,4.7619,3.5740,6.5
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1.00,0.7715,16.2015,1/25/2019,15:46,Credit card,15.43,4.7619,0.7715,6.1
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2.00,1.6160,33.9360,03-07-19,11:49,Ewallet,32.32,4.7619,1.6160,6.5
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8.00,34.3920,722.2320,2/28/2019,19:01,Cash,687.84,4.7619,34.3920,8.2
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2.00,4.4340,93.1140,3/27/2019,11:26,Cash,88.68,4.7619,4.4340,5.8
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.60,8.00,35.8400,752.6400,02-07-19,11:28,Ewallet,716.80,4.7619,35.8400,6.6
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10.00,36.1750,759.6750,1/20/2019,15:55,Cash,723.50,4.7619,36.1750,5.4
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6.00,9.1830,192.8430,03-12-19,20:36,Cash,183.66,4.7619,9.1830,9.3
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3.00,3.7110,77.9310,2/15/2019,17:47,Credit card,74.22,4.7619,3.7110,10.0
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6.00,16.7190,351.0990,2/24/2019,10:55,Ewallet,334.38,4.7619,16.7190,7.0
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9.00,24.7815,520.4115,02-03-19,13:40,Ewallet,495.63,4.7619,24.7815,10.0
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10.00,7.9050,166.0050,03-06-19,12:27,Credit card,158.10,4.7619,7.9050,8.6
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4.00,15.1480,318.1080,2/14/2019,14:35,Cash,302.96,4.7619,15.1480,7.6
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10.00,7.9350,166.6350,3/13/2019,16:40,Cash,158.70,4.7619,7.9350,5.8
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2.00,3.3470,70.2870,02-10-19,15:43,Ewallet,66.94,4.7619,3.3470,6.7
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6.00,29.2830,614.9430,01-07-19,15:01,Ewallet,585.66,4.7619,29.2830,9.9
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10.00,39.3850,827.0850,1/24/2019,10:04,Cash,787.70,4.7619,39.3850,6.4
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1.00,0.9165,19.2465,02-02-19,18:50,Cash,18.33,4.7619,0.9165,4.3
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10.00,44.7400,939.5400,01-06-19,12:46,Credit card,894.80,4.7619,44.7400,9.6
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10.00,31.0600,652.2600,02-11-19,16:19,Cash,621.20,4.7619,31.0600,5.9
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3.00,7.2780,152.8380,03-05-19,18:17,Ewallet,145.56,4.7619,7.2780,4.0
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6.00,22.7730,478.2330,03-09-19,18:21,Cash,455.46,4.7619,22.7730,8.7
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9.00,33.6015,705.6315,1/22/2019,10:55,Ewallet,672.03,4.7619,33.6015,9.4
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10.00,20.8250,437.3250,1/13/2019,17:04,Credit card,416.50,4.7619,20.8250,5.4
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9.00,22.0680,463.4280,01-09-19,14:20,Credit card,441.36,4.7619,22.0680,8.6
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9.00,9.0045,189.0945,01-12-19,15:48,Credit card,180.09,4.7619,9.0045,5.7
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10.00,39.1550,822.2550,03-05-19,16:24,Ewallet,783.10,4.7619,39.1550,6.6
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5.00,5.0950,106.9950,1/22/2019,18:56,Cash,101.90,4.7619,5.0950,6.0
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6.00,29.7570,624.8970,1/21/2019,14:42,Credit card,595.14,4.7619,29.7570,5.5
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3.00,14.5020,304.5420,1/26/2019,19:56,Ewallet,290.04,4.7619,14.5020,6.4
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8.00,7.7000,161.7000,1/23/2019,18:37,Ewallet,154.00,4.7619,7.7000,6.6
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4.00,16.0720,337.5120,2/23/2019,18:45,Credit card,321.44,4.7619,16.0720,8.3
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5.00,12.2275,256.7775,03-09-19,10:17,Cash,244.55,4.7619,12.2275,6.6
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7.00,29.0710,610.4910,03-05-19,14:31,Ewallet,581.42,4.7619,29.0710,4.0
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5.00,19.1300,401.7300,3/25/2019,10:23,Cash,382.60,4.7619,19.1300,9.9
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7.00,17.2830,362.9430,3/27/2019,20:35,Credit card,345.66,4.7619,17.2830,7.3
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1.00,2.1235,44.5935,01-02-19,16:57,Cash,42.47,4.7619,2.1235,5.7
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6.00,23.0970,485.0370,2/27/2019,17:55,Cash,461.94,4.7619,23.0970,6.1
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4.00,9.4760,198.9960,1/23/2019,10:25,Cash,189.52,4.7619,9.4760,7.1
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10.00,22.4300,471.0300,1/26/2019,19:54,Ewallet,448.60,4.7619,22.4300,8.2
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7.00,7.6930,161.5530,01-10-19,16:42,Ewallet,153.86,4.7619,7.6930,5.1
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9.00,28.9620,608.2020,03-12-19,12:09,Credit card,579.24,4.7619,28.9620,8.6
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1.00,4.4875,94.2375,02-06-19,20:05,Credit card,89.75,4.7619,4.4875,6.6
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1.00,4.8580,102.0180,03-08-19,20:38,Ewallet,97.16,4.7619,4.8580,7.2
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10.00,43.9350,922.6350,3/29/2019,10:25,Ewallet,878.70,4.7619,43.9350,5.1
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6.00,3.7350,78.4350,02-09-19,13:11,Cash,74.70,4.7619,3.7350,4.1
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3.00,7.9125,166.1625,3/23/2019,10:16,Ewallet,158.25,4.7619,7.9125,9.3
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.70,6.00,24.8100,521.0100,03-05-19,18:14,Cash,496.20,4.7619,24.8100,7.4
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1.00,2.4355,51.1455,3/26/2019,19:20,Cash,48.71,4.7619,2.4355,4.1
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9.00,35.3475,742.2975,03-01-19,13:22,Cash,706.95,4.7619,35.3475,7.2
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9.00,10.3815,218.0115,02-01-19,11:27,Cash,207.63,4.7619,10.3815,4.9
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6.00,17.4780,367.0380,3/28/2019,16:44,Cash,349.56,4.7619,17.4780,9.9
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7.00,10.6225,223.0725,3/19/2019,18:19,Cash,212.45,4.7619,10.6225,8.0
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10.00,44.3350,931.0350,01-12-19,14:50,Ewallet,886.70,4.7619,44.3350,7.3
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6.00,8.2140,172.4940,01-05-19,20:54,Credit card,164.28,4.7619,8.2140,7.9
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6.00,18.6390,391.4190,3/22/2019,20:19,Cash,372.78,4.7619,18.6390,7.4
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9.00,15.2910,321.1110,3/24/2019,10:43,Cash,305.82,4.7619,15.2910,4.2
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10.00,40.9850,860.6850,03-03-19,14:30,Cash,819.70,4.7619,40.9850,9.2
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2.00,1.6490,34.6290,02-05-19,11:32,Ewallet,32.98,4.7619,1.6490,4.6
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3.00,14.7315,309.3615,02-05-19,10:41,Credit card,294.63,4.7619,14.7315,7.8
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7.00,25.4940,535.3740,2/15/2019,12:44,Cash,509.88,4.7619,25.4940,8.4
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9.00,26.1315,548.7615,1/19/2019,20:07,Ewallet,522.63,4.7619,26.1315,4.3
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9.00,36.3555,763.4655,02-01-19,20:31,Credit card,727.11,4.7619,36.3555,9.5
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3.00,4.0530,85.1130,03-02-19,13:01,Credit card,81.06,4.7619,4.0530,7.1
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5.00,5.4850,115.1850,03-05-19,12:29,Ewallet,109.70,4.7619,5.4850,5.3
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1.00,2.5680,53.9280,1/16/2019,15:26,Ewallet,51.36,4.7619,2.5680,5.2
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10.00,5.4800,115.0800,02-02-19,20:48,Ewallet,109.60,4.7619,5.4800,6.0
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2.00,5.3440,112.2240,1/20/2019,20:38,Ewallet,106.88,4.7619,5.3440,4.1
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8.00,39.8240,836.3040,2/14/2019,17:03,Credit card,796.48,4.7619,39.8240,5.2
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7.00,19.9920,419.8320,01-12-19,12:02,Credit card,399.84,4.7619,19.9920,6.5
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9.00,44.9820,944.6220,03-09-19,17:26,Credit card,899.64,4.7619,44.9820,4.2
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8.00,25.5640,536.8440,3/13/2019,19:52,Credit card,511.28,4.7619,25.5640,4.6
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8.00,22.5880,474.3480,03-09-19,14:57,Ewallet,451.76,4.7619,22.5880,7.3
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7.00,32.7915,688.6215,03-10-19,18:44,Credit card,655.83,4.7619,32.7915,4.5
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5.00,8.0625,169.3125,1/27/2019,13:26,Cash,161.25,4.7619,8.0625,9.0
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9.00,14.2785,299.8485,01-08-19,16:17,Credit card,285.57,4.7619,14.2785,5.9
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8.00,27.4160,575.7360,01-08-19,15:57,Ewallet,548.32,4.7619,27.4160,8.5
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9.00,40.6260,853.1460,02-08-19,11:15,Ewallet,812.52,4.7619,40.6260,7.2
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7.00,13.8670,291.2070,1/25/2019,13:18,Cash,277.34,4.7619,13.8670,7.5
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6.00,27.6390,580.4190,03-06-19,20:34,Cash,552.78,4.7619,27.6390,8.3
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4.00,6.9680,146.3280,02-10-19,18:36,Cash,139.36,4.7619,6.9680,7.4
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6.00,26.2350,550.9350,2/17/2019,14:40,Credit card,524.70,4.7619,26.2350,8.8
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.30,6.00,24.3900,512.1900,03-08-19,16:43,Ewallet,487.80,4.7619,24.3900,5.3
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3.00,13.5330,284.1930,2/18/2019,19:39,Cash,270.66,4.7619,13.5330,6.2
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5.00,6.5775,138.1275,1/18/2019,20:59,Credit card,131.55,4.7619,6.5775,8.8
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6.00,10.3260,216.8460,2/18/2019,15:39,Cash,206.52,4.7619,10.3260,9.8
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10.00,25.9550,545.0550,2/16/2019,12:21,Cash,519.10,4.7619,25.9550,8.2
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.50,8.00,29.0000,609.0000,3/16/2019,19:25,Ewallet,580.00,4.7619,29.0000,9.2
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.80,10.00,44.9000,942.9000,1/23/2019,13:00,Credit card,898.00,4.7619,44.9000,5.4
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.50,10.00,45.2500,950.2500,1/25/2019,13:48,Cash,905.00,4.7619,45.2500,8.1
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.60,10.00,34.3000,720.3000,02-05-19,19:57,Cash,686.00,4.7619,34.3000,9.1
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1.00,1.5205,31.9305,2/22/2019,10:36,Credit card,30.41,4.7619,1.5205,8.4
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6.00,23.3850,491.0850,1/21/2019,16:37,Ewallet,467.70,4.7619,23.3850,8.0
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6.00,13.8780,291.4380,03-08-19,17:11,Credit card,277.56,4.7619,13.8780,9.5
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10.00,15.0700,316.4700,02-10-19,12:28,Ewallet,301.40,4.7619,15.0700,9.2
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4.00,13.2280,277.7880,3/19/2019,12:46,Credit card,264.56,4.7619,13.2280,5.6
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8.00,28.7440,603.6240,03-06-19,15:07,Credit card,574.88,4.7619,28.7440,6.2
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8.00,12.9840,272.6640,3/27/2019,13:48,Credit card,259.68,4.7619,12.9840,4.9
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4.00,18.3080,384.4680,3/23/2019,19:20,Credit card,366.16,4.7619,18.3080,4.8
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7.00,12.0960,254.0160,03-11-19,16:07,Credit card,241.92,4.7619,12.0960,7.3
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9.00,37.4580,786.6180,1/29/2019,11:56,Credit card,749.16,4.7619,37.4580,7.4
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6.00,4.9440,103.8240,02-07-19,18:23,Ewallet,98.88,4.7619,4.9440,9.9
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8.00,32.3880,680.1480,1/28/2019,13:05,Cash,647.76,4.7619,32.3880,9.3
782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5.00,23.0725,484.5225,2/20/2019,15:55,Credit card,461.45,4.7619,23.0725,9.0
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1.00,3.6085,75.7785,01-04-19,19:40,Cash,72.17,4.7619,3.6085,6.1
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5.00,12.5700,263.9700,03-07-19,13:58,Ewallet,251.40,4.7619,12.5700,9.7
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9.00,43.7490,918.7290,3/30/2019,14:43,Ewallet,874.98,4.7619,43.7490,6.0
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6.00,28.0170,588.3570,3/27/2019,19:18,Ewallet,560.34,4.7619,28.0170,10.0
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8.00,17.2720,362.7120,1/19/2019,19:39,Credit card,345.44,4.7619,17.2720,8.3
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1.00,3.1845,66.8745,2/25/2019,16:21,Cash,63.69,4.7619,3.1845,6.0
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7.00,16.0265,336.5565,3/13/2019,19:44,Credit card,320.53,4.7619,16.0265,7.0
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.40,2.00,7.6400,160.4400,1/30/2019,19:42,Ewallet,152.80,4.7619,7.6400,6.5
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.90,10.00,19.9500,418.9500,2/20/2019,15:24,Credit card,399.00,4.7619,19.9500,5.9
505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57,8.00,17.0280,357.5880,2/25/2019,14:12,Ewallet,340.56,4.7619,17.0280,5.6
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10.00,47.7900,1003.5900,1/16/2019,13:32,Cash,955.80,4.7619,47.7900,4.8
687-47-8271,A,Yangon,Normal,Male,Fashion accessories,98.98,10.00,49.4900,1039.2900,02-08-19,16:20,Credit card,989.80,4.7619,49.4900,8.7
796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6.00,15.3840,323.0640,1/19/2019,16:31,Cash,307.68,4.7619,15.3840,6.5
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7.00,24.3320,510.9720,02-01-19,15:10,Credit card,486.64,4.7619,24.3320,8.5
